usertw,datetw,followers
AlvaroUribeVel,2022-04-25 08:00:37.527933,5009565
petrogustavo,2022-04-25 08:00:37.527933,4801639
FicoGutierrez,2022-04-25 08:00:37.527933,851913
FranciaMarquezM,2022-04-25 08:00:37.527933,394776
Enrique_GomezM,2022-04-25 08:00:37.527933,33002
EnriquePenalosa,2022-04-25 08:00:37.527933,1984082
ingrodolfohdez,2022-04-25 08:00:37.527933,140061
ZelenskyyUa,2022-04-25 08:00:37.527933,6088556
German_Vargas,2022-04-25 08:00:37.527933,879009
UCompensar,2022-04-25 08:00:37.527933,7170
sergio_fajardo,2022-04-25 08:00:37.527933,1645693
AlvaroUribeVel,2022-04-26 08:00:21.404372,5009550
petrogustavo,2022-04-26 08:00:21.404372,4805352
FicoGutierrez,2022-04-26 08:00:21.404372,853921
FranciaMarquezM,2022-04-26 08:00:21.404372,396610
Enrique_GomezM,2022-04-26 08:00:21.404372,33332
EnriquePenalosa,2022-04-26 08:00:21.404372,1984465
ingrodolfohdez,2022-04-26 08:00:21.404372,141010
ZelenskyyUa,2022-04-26 08:00:21.404372,6096117
German_Vargas,2022-04-26 08:00:21.404372,879073
UCompensar,2022-04-26 08:00:21.404372,7170
sergio_fajardo,2022-04-26 08:00:21.404372,1646167
AlvaroUribeVel,2022-04-27 08:00:35.863232,5009558
petrogustavo,2022-04-27 08:00:35.863232,4808636
FicoGutierrez,2022-04-27 08:00:35.863232,855682
FranciaMarquezM,2022-04-27 08:00:35.863232,398280
Enrique_GomezM,2022-04-27 08:00:35.863232,33514
EnriquePenalosa,2022-04-27 08:00:35.863232,1984846
ingrodolfohdez,2022-04-27 08:00:35.863232,141525
ZelenskyyUa,2022-04-27 08:00:35.863232,6108621
German_Vargas,2022-04-27 08:00:35.863232,879172
UCompensar,2022-04-27 08:00:35.863232,7170
sergio_fajardo,2022-04-27 08:00:35.863232,1646859
AlvaroUribeVel,2022-04-28 08:00:24.431233,5009748
petrogustavo,2022-04-28 08:00:24.431233,4811851
FicoGutierrez,2022-04-28 08:00:24.431233,857325
FranciaMarquezM,2022-04-28 08:00:24.431233,400012
Enrique_GomezM,2022-04-28 08:00:24.431233,33638
EnriquePenalosa,2022-04-28 08:00:24.431233,1985140
ingrodolfohdez,2022-04-28 08:00:24.431233,142107
ZelenskyyUa,2022-04-28 08:00:24.431233,6118870
German_Vargas,2022-04-28 08:00:24.431233,879252
UCompensar,2022-04-28 08:00:24.431233,7171
sergio_fajardo,2022-04-28 08:00:24.431233,1647508
AlvaroUribeVel,2022-04-29 08:00:16.144529,5009858
petrogustavo,2022-04-29 08:00:16.144529,4815038
FicoGutierrez,2022-04-29 08:00:16.144529,858971
FranciaMarquezM,2022-04-29 08:00:16.144529,401443
Enrique_GomezM,2022-04-29 08:00:16.144529,33756
EnriquePenalosa,2022-04-29 08:00:16.144529,1985501
ingrodolfohdez,2022-04-29 08:00:16.144529,143924
ZelenskyyUa,2022-04-29 08:00:16.144529,6128459
German_Vargas,2022-04-29 08:00:16.144529,879296
UCompensar,2022-04-29 08:00:16.144529,7173
sergio_fajardo,2022-04-29 08:00:16.144529,1648259
AlvaroUribeVel,2022-04-30 08:00:23.221282,5009921
petrogustavo,2022-04-30 08:00:23.221282,4817379
FicoGutierrez,2022-04-30 08:00:23.221282,860353
FranciaMarquezM,2022-04-30 08:00:23.221282,402564
Enrique_GomezM,2022-04-30 08:00:23.221282,33823
EnriquePenalosa,2022-04-30 08:00:23.221282,1985740
ingrodolfohdez,2022-04-30 08:00:23.221282,145396
ZelenskyyUa,2022-04-30 08:00:23.221282,6138003
German_Vargas,2022-04-30 08:00:23.221282,879352
UCompensar,2022-04-30 08:00:23.221282,7173
sergio_fajardo,2022-04-30 08:00:23.221282,1648784
AlvaroUribeVel,2022-05-01 08:00:19.882955,5009981
petrogustavo,2022-05-01 08:00:19.882955,4821491
FicoGutierrez,2022-05-01 08:00:19.882955,861762
FranciaMarquezM,2022-05-01 08:00:19.882955,403731
Enrique_GomezM,2022-05-01 08:00:19.882955,33870
EnriquePenalosa,2022-05-01 08:00:19.882955,1985903
ingrodolfohdez,2022-05-01 08:00:19.882955,146497
ZelenskyyUa,2022-05-01 08:00:19.882955,6147979
German_Vargas,2022-05-01 08:00:19.882955,879405
UCompensar,2022-05-01 08:00:19.882955,7173
sergio_fajardo,2022-05-01 08:00:19.882955,1649198
AlvaroUribeVel,2022-05-02 08:00:29.124283,5011146
petrogustavo,2022-05-02 08:00:29.124283,4824712
FicoGutierrez,2022-05-02 08:00:29.124283,863130
FranciaMarquezM,2022-05-02 08:00:29.124283,405078
Enrique_GomezM,2022-05-02 08:00:29.124283,33902
EnriquePenalosa,2022-05-02 08:00:29.124283,1986125
ingrodolfohdez,2022-05-02 08:00:29.124283,147218
ZelenskyyUa,2022-05-02 08:00:29.124283,6162111
German_Vargas,2022-05-02 08:00:29.124283,879471
